agenda_date,RIN,agency_code,agency_name,department_code,department_name,rule_title,abstract,priority,RIN_status,rule_stage,major,CFR,legal_authority,regulatory_flexibility_analysis,statement_of_need,summary_of_the_legal_basis,alternatives,federalism,cost_and_benefits,risks,agency_contact_list,legal_deadline1,legal_deadline2,legal_deadline3,legal_deadline4,legal_deadline5,legal_deadline6,action1,action2,action3,action4,action5,action6,action7,action8,action9,action10,action11,action12,action13,action14,action15,action16,action17,action18,action19,action20,action21,action22,action23,action24,action25
199510,0503-AA10,0503,Office of the Secretary,0500,Department of Agriculture,"Grants and Agreements With Institutions of Higher Education, Hospitals and Other Non-Profit Organizations","This regulation establishes the administrative requirements for Federal grants and agreements to institutions of higher education, hospitals and non-profit organizations.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,,7 CFR 3019,31 USC 1111,Yes,,,,,,,"Annie,Walker-Bradley,Acting Director Planning and Accountability,0503,Office of the Secretary,AgSEC,202 720-9983,202 690-3561,abradley@cfo.usda.gov,Room 4632 South Building, 1400 Independence Avenue SW,Washington,DC,20250",,,,,,,Final Action; 10/00/1995,,,,,,,,,,,,,,,,,,,,,,,,
199510,0503-AA05,0503,Office of the Secretary,0500,Department of Agriculture,Supplemental Standards of Ethical Conduct for Employees of the Department of Agriculture,The regulations will supplement Governmentwide ethical conduct regulations issued by the Office of Government Ethics (OGE) in August 1992. The OGE must approve USDA's supplementation.,Other Significant,Previously Published in The Unified Agenda,Long-Term Actions,,05 CFR 2635,PL 101-194 Ethics Reform Act; EO 12674 Ethical Conduct for Government Officers and Employees,No,,,,,,,"Gary,Whitaker,M.,Acting Director, Employee Relations Development Division,0503,Office of the Secretary,AgSEC,202 720-3327,AG Box 9616,Washington,DC,20250-9616",,,,,,,NPRM; To Be Determined,,,,,,,,,,,,,,,,,,,,,,,,
199510,0503-AA12,0503,Office of the Secretary,0500,Department of Agriculture,Nonprocurement Debarment and Suspension,"USDA proposes to amend its regulations that implement Executive Order 12549, ""Debarment and Suspension."" E.O. 12549 required executive agencies and departments to issue by the Office of Management and Budget (OMB), to establish governmentwide debarment and suspension system by making appropriate modifications to the coverage of the regulations and clarifying the relationship of the regulations to other USDA procedures for establishing participant eligibility for specific programs.","Substantive, Nonsignificant",First Time Published in The Unified Agenda,Long-Term Actions,,7 CFR 3017,5 USC 301; 41 USC 701 et seq; EO 12549,No,,,,,,,"Gary,Butler,W.,Deputy Assistant General Counsel, Office of the General Counsel,0503,Office of the Secretary,AgSEC,202 720-2577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0503-AA11,0503,Office of the Secretary,0500,Department of Agriculture,Nonprocurement Debarment and Suspension,"This rule finalizes the necessary changes to the USDA rule for nonprocurement debarment and suspension, to implement fully the reciprocity provisions of the cited legal authorities.","Substantive, Nonsignificant",First Time Published in The Unified Agenda,Completed Actions,,7 CFR 3017,"EO 12459; EO 12689; PL 103-355, sec 2455",No,,,,,,,"Gary,Butler,W.,Deputy Assistant General Counsel, Office of the General Counsel,0503,Office of the Secretary,AgSEC,202 720-2577",,,,,,,Final Action; 06/26/1995; 60 FR 33037,Final Action Effective; 08/25/1995,,,,,,,,,,,,,,,,,,,,,,,
199510,0505-AA09,0505,Office of Chief Financial Officer,0500,Department of Agriculture,"Audits of State, Local, and Indian Tribal Governments","Consolidates and revises USDA's policy for audits of State, local and Indian Tribal Governments.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Long-Term Actions,,7 CFR 3015; 7 CFR 3016; 7 CFR 3050,5 USC 301; 31 USC 7505,Yes,,,,,,,"Allen,Johnson,Acting Director,0505,Office of Chief Financial Officer,OCFO,202 720-8345,Room 4094, South Building, 14th and Independence Avenue SW,Washington,DC,20250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0524-AA02,0524,"Cooperative State Research, Education, and Extension Service",0500,Department of Agriculture,Higher Education Challenge Grants Program; Administrative Provisions,"Regulation will establish the procedures to be followed annually in the solicitation of proposals, the evaluation of such proposals, and the award of project grants under the Higher Education Challenge Grants Program.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,7 CFR 3405,7 USC 3152,No,,,,,,,"Jeffrey,Gilmore,L.,Dr.,Higher Education National Program Leader,0524,202 720-1973,jgilmore@nifa.usda.gov,Room 3430, South Agriculture Building, 1400 Independence Avenue SW,Washington,DC,20250-2251",,,,,,,NPRM; 10/00/1995,NPRM Comment Period End; 11/00/1995,Final Action; 03/00/1996,Final Action Effective; 03/00/1996,,,,,,,,,,,,,,,,,,,,,
199510,0524-AA03,0524,"Cooperative State Research, Education, and Extension Service",0500,Department of Agriculture,1890 Institution Capacity Building Grants Program; Administrative Provisions,"Regulation will establish the procedures to be followed annually in the solicitation of proposals, the evaluation of such proposals, and award of project grants under the 1890 Institution Capacity Building Grants Program.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,7 CFR 3406,7 USC 3318,No,,,,,,,"Jeffrey,Gilmore,L.,Dr.,Higher Education National Program Leader,0524,202 720-1973,jgilmore@nifa.usda.gov,Room 3430, South Agriculture Building, 1400 Independence Avenue SW,Washington,DC,20250-2251",,,,,,,NPRM; 10/00/1995,NPRM Comment Period End; 11/00/1995,Final Action; 01/00/1996,Final Action Effective; 01/00/1996,,,,,,,,,,,,,,,,,,,,,
199510,0524-AA09,0524,"Cooperative State Research, Education, and Extension Service",0500,Department of Agriculture,Higher Education Multicultural Scholars Program; Administrative Provisions,"Regulations will establish the procedures to be followed annually in the solicitation of proposals, the evaluation of such proposals and the award of project grants under the Multicultural Scholars Program.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,7 CFR 3409,7 USC 3152(b)(5); PL 103-111; PL 103-330,No,,,,,,,"Jeffrey,Gilmore,L.,Dr.,Higher Education National Program Leader,0524,202 720-1973,jgilmore@nifa.usda.gov,Room 3430, South Agriculture Building, 1400 Independence Avenue SW,Washington,DC,20250-2251",,,,,,,NPRM; 10/00/1995,NPRM Comment Period End; 11/00/1995,Final Action; 01/00/1996,Final Action Effective; 01/00/1996,,,,,,,,,,,,,,,,,,,,,
199510,0524-AA11,0524,"Cooperative State Research, Education, and Extension Service",0500,Department of Agriculture,Buildings and Facilities Program Administrative Provisions,"We propose to establish Administrative Provisions for the Buildings and Facilities Program to institute procedures to be followed in preparing proposals, to outline requirements which grant recipients must meet, to provide instructions on how to apply for a grant, and to provide general information about post-award administration of grants under the program.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,7 CFR 3410,7 USC 3318,No,,,,,,,"Louise,Ebaugh,Director, Awards Management Division,0524,202 401-5050,lebaugh@nifa.usda.gov,AG Box 2245,Washington,DC,20250-2245",,,,,,,NPRM; 12/00/1995,,,,,,,,,,,,,,,,,,,,,,,,
199510,0524-AA15,0524,"Cooperative State Research, Education, and Extension Service",0500,Department of Agriculture,Rangeland Research Grants Program; Administrative Provisions,"Cooperative State Research, Education, and Extension Service proposes to amend the Administrative Provisions for the Rangeland Research Grants Program to implement the requirements of the National Environmental Policy Act, revise the objectives of the program, change the agency name to reflect the Departmental reorganization, and to make a few additional minor changes.","Substantive, Nonsignificant",First Time Published in The Unified Agenda,Proposed Rule Stage,,7 CFR 3401,7 USC 3333,No,,,,,,,"Louise,Ebaugh,Director, Awards Management Division,0524,202 401-5050,lebaugh@nifa.usda.gov,AG Box 2245,Washington,DC,20250-2245",,,,,,,NPRM; 10/27/1995; 60 FR 55160,,,,,,,,,,,,,,,,,,,,,,,,
