agenda_date,RIN,agency_code,agency_name,department_code,department_name,rule_title,abstract,priority,RIN_status,rule_stage,major,CFR,legal_authority,regulatory_flexibility_analysis,statement_of_need,summary_of_the_legal_basis,alternatives,federalism,cost_and_benefits,risks,agency_contact_list,legal_deadline1,legal_deadline2,legal_deadline3,legal_deadline4,legal_deadline5,legal_deadline6,action1,action2,action3,action4,action5,action6,action7,action8,action9,action10,action11,action12,action13,action14,action15,action16,action17,action18,action19,action20,action21,action22,action23,action24,action25
199510,3235-AG34,3235,Securities and Exchange Commission,,,Regulation S,"In connection with the issuance of an interpretive release relating to Regulation S, the Commission solicited comment as to whether Regulation S should be amended to impose additional restrictions on its use to impede attempts to use the regulation to evade the registration requirements of the Securities Act of 1933. The Division will consider the comments received in considering its recommendation for further Commission action.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 230.901 et seq,15 USC 77a et seq,Undetermined,,,,,,,"Mary,Cascio,Office of International Corporate Finance, Division of Corporation Finance,3235,Securities and Exchange Commission,SEC,202 942-2990,202 942-9624,450 5th Street NW,Washington,DC,20549",,,,,,,ANPRM; 07/10/1995; 60 FR 35563,ANPRM Comment Period End; 09/08/1995,NPRM; 04/00/1996,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AG22,3235,Securities and Exchange Commission,,,Form S-4: Elimination of General Instruction G,The Division is considering recommending that the Commission propose eliminating General Instruction G from Form S-4 in view of the exemption from registration for securities issued in bank holding company formations recently enacted as part of the Riegle Community Development and Regulatory Improvement Act.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 230.406; 17 CFR 230.464; 17 CFR 230.473; 17 CFR 230.475a; 17 CFR 230.477; 17 CFR 239.25,15 USC 77c; 15 USC 77e; 15 USC 77f; 15 USC 77h; 15 USC 77j; 15 USC 77q; 15 USC 77s,Undetermined,,,,,,,"Peggy,Fisher,Division of Corporation Finance,3235,Securities and Exchange Commission,SEC,202 942-1762",,,,,,,NPRM; 12/00/1995,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AG33,3235,Securities and Exchange Commission,,,Extension of Reporting Requirements for Certain Issuers of Debt Securities,"In June 1994, the Commission published a release soliciting comment as to whether it is advisable to expand reporting requirements to issuers of debt securities that are traded in the over-the-counter market under certain circumstances where the issuer is not otherwise subject to periodic reporting requirements. The Division is considering whether to recommend that the Commission issue proposals to require certain obligors on debt securities to file reports with the Commission containing current information regarding their obligations.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 260,15 USC 77nnn,Undetermined,,,,,,,"Joseph,Babits,P.,Division of Corporation Finance,3235,Securities and Exchange Commission,SEC,202 942-2910",,,,,,,ANPRM; 06/07/1994; 59 FR 29398,NPRM; 09/00/1996,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AG35,3235,Securities and Exchange Commission,,,Safe Harbor for Forward-Looking Statements,"The Commission issued a concept release in October 1994 regarding disclosure of forward-looking information and the effectiveness of the safe harbor provisions for that type of disclosure. The concept release requested public comments and announced that public hearings would be held. The Division is reviewing public testimony and comment letters in order to evaluate the safe harbor provisions and recommend to the Commission, if appropriate and consistent with the protection of investors, proposed amendments to these provisions in order to more effectively encourage the dissemination of forward-looking information.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 230.175,15 USC 77a et seq; 15 USC 78a et seq,Undetermined,,,,,,,"James,Budge,R.,Division of Corporation Finance,3235,Securities and Exchange Commission,SEC,202 942-2950,Division of Corporation Finance, 450 5th Street NW,Washington,DC,20549",,,,,,,ANPRM; 10/19/1994; 59 FR 52723,NPRM; 03/00/1996,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AD21,3235,Securities and Exchange Commission,,,Investment Advisers: Registration and Annual Supplement Forms,"The Division of Investment Management is considering whether to recommend that the Commission revise Form ADV, the investment adviser registration form, and related rules to: (1) request information related to the Commission's enforcement authority, (2) enhance disclosure of information about the advisory relationship provided to clients and prospective clients, and (3) require annual amendment of the form.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 275; 17 CFR 279,15 USC 78o(b)(1); 15 USC 78w(a); 15 USC 80b-3; 15 USC 80b-4; 15 USC 80b-6A; 15 USC 80b-11,Undetermined,,,,,,,"Karen,Garnett,J.,Office of Disclosure and Investment Adviser Regulation-Division of Investment Ma,3235,Securities and Exchange Commission,SEC,202 942-0728",,,,,,,NPRM; 04/00/1996,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AA47,3235,Securities and Exchange Commission,,,Unit Investment Trusts: Simplification of Registration Statements and Advertising Rules,"The Commission has reproposed for public comment Form N-7, a new form for registering unit investment trusts (UITs) and their securities under the Investment Company Act and the Securities Act. Adoption of Form N-7 would: (1) codify the disclosure requirements for UITs into one form; (2) codify the disclosure standards that have been developed for UITs; and (3) shorten and simplify the prospectus used in connection with the sale of units in both the initial offering and in the secondary market maintained by the sponsor. The requirement for audited financial statements would be eliminated under certain circumstances. Under the reproposal, the requirement that registrants include certain third-party financial statements in the registration statement would be extended to insurers as well as guarantors of portfolio securities of the trust. The Division of Investment Management was also considering a recommendation to the Commission of a rule proposal that would standardize yields advertised by certain unit investment trusts. The Division is now considering this matter under a separate rulemaking proposal.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 239.16; 17 CFR 274.12,15 USC 80a-8; 15 USC 77g; 15 USC 77j,Yes,,,,,,,"Anthony,Bosch,R.,Office of Disclosure and Investment Adviser Regulation-Division of Investment Ma,3235,Securities and Exchange Commission,SEC,202 942-0528,Division of Market Regulation, 450 5th Street NW,Washington,DC,20549",,,,,,,NPRM; 05/23/1985; 50 FR 21282,Comment Period End; 07/31/1985,Reproposing Release; 03/17/1987; 52 FR 8268,NPRM Comment Period End; 05/18/1987,NPRM; 09/00/1996,,,,,,,,,,,,,,,,,,,,
199510,3235-AE46,3235,Securities and Exchange Commission,,,Certain Investment Company Registration Forms,"The Division of Investment Management is reviewing the requirements of Form N-1A, the registration form for all open-end management investment companies registering under the Securities Act and the Investment Company Act. The review will focus on ways to update and improve the disclosure requirements of the form. The Division will also be addressing the incorporation by reference rules in the investment company registration forms.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 230.482; 17 CFR 239.15; 17 CFR 274.11; 17 CFR 239.23; 17 CFR 239.15A; 17 CFR 274.11A; 17 CFR 239.17a; 17 CFR 274.11b; 17 CFR 239.17b; 17 CFR 274.11c,15 USC 77a et seq; 15 USC 80a-1 et seq,Undetermined,,,,,,,"Martha,Platt,H.,Office of Disclosure and Investment Adviser Regulation-Division of Investment Ma,3235,Securities and Exchange Commission,SEC,202 942-0725,Division of Investment Management, 450 5th Street NW,Washington,DC,20549",,,,,,,NPRM; 03/00/1996,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AE95,3235,Securities and Exchange Commission,,,Exemption for Finance Subsidiaries of Certain Banks and Insurance Companies,The Division of Investment Management is considering whether to recommend that the Commission propose amendments to rule 3a-5 to permit finance subsidiaries of U.S. banks and insurance companies to rely on the rule.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 270.3a-5,15 USC 80a-6(c); 15 USC 80a-37(a),Undetermined,,,,,,,"Holly,Hill-Little,Office of Regulatory Policy, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0978",,,,,,,NPRM; 12/00/1995,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF57,3235,Securities and Exchange Commission,,,Assignments of Advisory Contracts: Temporary Exemptions,"The Division is considering whether to recommend that the Commission propose to amend rule 15a-4 to permit an adviser conditionally to serve at the prior contract's fee during a short interim period, prior to shareholder approval of the new contract and following an ""unforeseeable"" or ""uncontrollable"" assignment of the advisory contract, e.g., triggered by an acquisition of the parent company of the adviser where the fund and adviser are not informed sufficiently in advance to obtain shareholder approval.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 270.15a-4,15 USC 80a-6(c); 15 USC 80a-37(a),Undetermined,,,,,,,"Elizabeth,Krentzman,R.,Office of Regulatory Policy, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0687,Division of Investment Management, 450 5th Street NW,Washington,DC,20549",,,,,,,NPRM; 02/00/1996,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF70,3235,Securities and Exchange Commission,,,Custody of Investments by a Registered Management Investment Company,"The Division of Investment Management is considering whether to recommend that the Commission propose amendments to rule 17f-2 under the Investment Company Act, which governs the circumstances under which the securities and similar investments of a registered management investment company may be maintained in the custody of such company.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 270.17f-2,15 USC 80a-17(f); 15 USC 80a-6(c); 15 USC 80a-37(a),Undetermined,,,,,,,"Thomas,Kerwin,M. J.,Office of Regulatory Policy, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0690",,,,,,,NPRM; 12/00/1995,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF78,3235,Securities and Exchange Commission,,,PUHCA: Exemption for Certain Acquisitions of Foreign Utility Companies,The proposed rule is intended to provide a safe harbor for the acquisition of one or more foreign utility companies by a registered holding company.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 250.55; 17 CFR 259.5s0 (Revision),15 USC 79(t); 15 USC 79(n),No,,,,,,,"David,LaRoche,R.,Office of Public Utility Regulation, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0559",,,,,,,NPRM; 03/08/1993; 58 FR 13719,NPRM Comment Period End; 04/14/1993,NPRM; 03/00/1996,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF79,3235,Securities and Exchange Commission,,,Status of Subsidiary Companies Formed to Hold Interests in Foreign Utility Companies,The proposed rule clarifies that a subsidiary of a registered holding company which is engaged exclusively in the business of owning an interest in one or more foreign utility companies shall be deemed to be a foreign utility company.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 250.56,15 USC 79(t),No,,,,,,,"David,LaRoche,R.,Office of Public Utility Regulation, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0559",,,,,,,NPRM; 03/08/1993; 58 FR 13719,NPRM Comment Period End; 04/14/1993,NPRM; 03/00/1996,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF93,3235,Securities and Exchange Commission,,,"Amendments to Form N-SAR, Semiannual Report of Registered Investment Companies","The Division of Investment Management is considering whether to recommend that the Commission amend Form N-SAR, the semi-annual report for registered investment companies, to update the items of the form.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 249.330; 17 CFR 274.101,15 USC 78n; 15 USC 78o(d); 15 USC 78w(a); 15 USC 80a-8; 15 USC 80a-29; 15 USC 80a-37,Undetermined,,,,,,,"Carolyn,Miller,A.,Office of Financial Analysis, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0510",,,,,,,NPRM; 12/00/1995,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AG29,3235,Securities and Exchange Commission,,,Deregistration Form Amendments,"The Division of Investment Management is considering recommending to the Commission amendments for Form N-8F, the deregistration form used by those registered investment companies defined in rule 8f-1 under the Investment Company Act. The proposed amendments to Form N-8F would seek to simplify and expedite the deregistration process for investment companies by (1) reorganizing the information reported on the Form, (2) deleting any questions that are unnecessary and adding questions that are frequently asked by the Division, and (3) clarifying the meaning and scope of items.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 274.218; 17 CFR 270.8F-1,15 USC 80a-37(a),Yes,,,,,,,"Sarah,Wagman,A.,Office of Investment Company Regulation, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0654",,,,,,,NPRM; 09/00/1996,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AG31,3235,Securities and Exchange Commission,,,Mergers of Certain Affiliated Investment Companies,"Rule 17a-8 presently allows a merger, consolidation, or purchase or sale of substantially all of the assets involving registered investment companies which may be affiliated persons, or affiliated persons of an affiliated person, solely by reason of having a common investment adviser, common directors, and/or common officers. The Division of Investment Management is considering whether to recommend to the Commission that it expand the applicability of the rule to other affiliate relationships.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,17 CFR 270.17a-8,15 USC 80a-17(a),Yes,,,,,,,"Thomas,Kerwin,M. J.,Office of Regulatory Policy, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0690",,,,,,,NPRM; 01/00/1996,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AG37,3235,Securities and Exchange Commission,,,Insurance Products: New Form N-6 for Registration of Separate Accounts Offering Variable Life Insurance Contracts,"The staff of the Office of Insurance Products is planning to recommend that the Commission propose a new Form N-6 to be used for separate accounts offering variable life insurance contracts to register under both the Investment Company Act and the Securities Act. Currently, most insurance company separate accounts are organized as unit investment trusts (UITs) and register their interests on Form S-6. Form S-6 was developed for UITs generally, and not specifically for insurance company separate accounts that offer interests in variable life insurance contracts.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,Not yet determined,15 USC 77a et seq; 15 USC 80a-1 et seq; 15 USC 77g; 15 USC 77j; 15 USC 77s; 15 USC 80a-8; 15 USC 80a-29; 15 USC 80a-37,Undetermined,,,,,,,"Kevin,Kirchoff,M.,Office of Insurance Products, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0672",,,,,,,NPRM; 03/00/1996,,,,,,,,,,,,,,,,,,,,,,,,
