agenda_date,RIN,agency_code,agency_name,department_code,department_name,rule_title,abstract,priority,RIN_status,rule_stage,major,CFR,legal_authority,regulatory_flexibility_analysis,statement_of_need,summary_of_the_legal_basis,alternatives,federalism,cost_and_benefits,risks,agency_contact_list,legal_deadline1,legal_deadline2,legal_deadline3,legal_deadline4,legal_deadline5,legal_deadline6,legal_deadline7,action1,action2,action3,action4,action5,action6,action7,action8,action9,action10,action11,action12,action13,action14,action15,action16,action17,action18,action19,action20,action21,action22,action23,action24,action25,action26,action27,action28,action29,action30,action31,action32,action33,action34,action35,action36,action37,action38,action39,action40,action41,action42,action43,action44,action45,action46,action47,action48,action49,action50,action51,action52,action53,action54,action55,action56,action57,action58
199510,0970-AA97,0970,Administration for Children and Families,0900,Department of Health and Human Services,"Foster Care, Adoption Assistance, and Child Welfare Services",This NPRM will propose requirements that implement the statutory provisions of the Social Security Act Amendments of 1994 on review of State programs under Parts B and E of the Social Security Act for conformity with State Plan requirements.,Other Significant,Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 1355; 45 CFR 1356; 45 CFR 1357,42 USC 627; 42 USC 671; 42 USC 1320,No,,,,,,,"Daniel,Lewis,H.,Deputy Associate Commissioner, Children's Bureau, Adm. on Children, Youth & Fami,0970,Administration for Children and Families,ACF,202 205-8594,P.O. Box 1182,Washington,DC,20013",Statutory; NPRM; 07/01/1995;   ,,,,,,,NPRM; 04/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB47,0970,Administration for Children and Families,0900,Department of Health and Human Services,Block Grant Programs (Low Income Home Energy Assistance Program --LIHEAP)--FY 1995 and FY 1996 Provisions,"This Notice of Proposed Rulemaking will amend the DHHS block grant regulations to implement changes to the Low Income Home Energy Assistance Program (LIHEAP) statute which were made by the Human Services Amendments of 1994 (Pub. L. 103-252). Several of the provisions in the new law are self-implementing, but a few require implementing regulations. The major provisions requiring implementing regulations are: (1) Inclusion of new Assurance 16, to require grantees to submit as a part of their annual application a description of their ""self-sufficiency"" activities and to submit a report to DHHS on the effect of these activities; (2) Inclusion of allowable uses of DOE rules for weatherization services provided with LIHEAP funds; (3) Inclusion for requirements for submission of data on households served. In addition, other related amendments to the regulations will be included, concerning the following issues: (1) Consideration of different weighting of factors under the allocation formula for the leveraging incentive program; (2) Hearing requirements for audit disallowances; and (3) Allotments for territories. requirements.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 96,42 USC 8621,No,,,,,,,"Janet,Fox,M.,Director, Division of Energy Assistance, Office of Community Services,0970,Administration for Children and Families,ACF,202 401-9351,370 L'Enfant Promenade SW.,Washington,DC,20447",,,,,,,,NPRM; 02/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB49,0970,Administration for Children and Families,0900,Department of Health and Human Services,Administrative Flexibility Rule,This proposed rule adds a new section 205.31 which will provide a simple administrative process for requesting waivers of certain AFDC regulatory provisions. Such waivers will give States more flexibility to devise procedures for the effective and efficient administration of their AFDC programs. The major provisions for which waivers will be granted are: (1) the requirements for prospective budgeting of income; (2) the time period for calculating the total amount of overpayment and the determination of when the initial overpayment begins; and (3) other provisions on various disregards and self-employment business expenses.,Other Significant,Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 205.31,42 USC 1302,No,,,,,,,"Mack,Storrs,A.,Director, Division of Self-Sufficiency Programs,0970,Administration for Children and Families,ACF,202 401-9289,mstorrs@acf.dhhs.gov,Office of Family Assistance, 370 L'Enfant Promenade SW,Washington,DC,20447",,,,,,,,NPRM; 04/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB52,0970,Administration for Children and Families,0900,Department of Health and Human Services,Designation of Alternative Agency To Serve Indian Tribal Children,This NPRM will specify a process by which an Indian tribe may identify and establish an alternative agency to provide Head Start Services if the agency previously serving the tribe is terminated.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 1302,42 USC 9801,Yes,,,,,,,"Douglas,Klafehn,Deputy Associate Commissioner, Head Start,0970,Administration for Children and Families,ACF,202 205-8569,dklafehn@acf.dhhs.gov,330 C Street SW.,Washington,DC,20447",,,,,,,,NPRM; 02/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB54,0970,Administration for Children and Families,0900,Department of Health and Human Services,Construction of Head Start Facilities,This NPRM will establish procedures to be used by Head Start agencies in requesting to use Head Start grant funds to construct or renovate a Head Start facility.,Other Significant,Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 1309,42 USC 9801,Yes,,,,,,,"Douglas,Klafehn,Deputy Associate Commissioner, Head Start,0970,Administration for Children and Families,ACF,202 205-8569,dklafehn@acf.dhhs.gov,330 C Street SW.,Washington,DC,20447",,,,,,,,NPRM; 01/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB55,0970,Administration for Children and Families,0900,Department of Health and Human Services,Quality Standards for Head Start Programs,"The NPRM will establish performance standards with respect to services provided to children 0 to 5 years old by Head Start Programs, including health, education, parent involvement, nutritional, social, and transitional services, administrative and financial management standards and standards relating to the condition and location of facilities used to carry out Head Start activities.",Other Significant,Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 1301; 45 CFR 1304; 45 CFR 1309,42 USC 9801,Yes,"This regulation responds to the Administration's commitment to re-engineer the Head Start program in terms of quality improvement and capacity expansion and incorporates the Head Start Amendments of 1994 provision authorizing a new program of comprehensive, developmental services for low-income families with infants and toddlers. The statute requires the Department of Health and Human Services to publish performance standards governing the projects to be funded under this authority.","Section 112, Title I (the Head Start Act Amendments of 1994) of the Human Resource Amendments of 1994.","These rules are required by statutory mandate. To the extent that there is flexibility in regulating specific provisions, all reasonable alternatives were considered by the Administration for Children, Youth and Families prior to the promulgation.",,Any costs associated with this regulation are the result of legislation and therefore are reflected in the President's budget.,None.,"Douglas,Klafehn,Deputy Associate Commissioner, Head Start,0970,Administration for Children and Families,ACF,202 205-8569,dklafehn@acf.dhhs.gov,330 C Street SW.,Washington,DC,20447",Statutory; NPRM; 05/18/1995;  Legal deadline only pertains to performance standards.,,,,,,,NPRM; 12/00/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB56,0970,Administration for Children and Families,0900,Department of Health and Human Services,Head Start Fellowships Program,This NPRM will establish the policies and procedures to be used in selecting individuals to be part of the Head Start Fellowship Program.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 1311,42 USC 9801,No,,,,,,,"Douglas,Klafehn,Deputy Associate Commissioner, Head Start,0970,Administration for Children and Families,ACF,202 205-8569,dklafehn@acf.dhhs.gov,330 C Street SW.,Washington,DC,20447",,,,,,,,NPRM; 12/00/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB57,0970,Administration for Children and Families,0900,Department of Health and Human Services,Reporting Overdue Support Information to Consumer Reporting Agencies,"This rule contains provisions regarding required State laws for reporting information concerning unpaid child support obligations to consumer reporting agencies. These provisions implement the requirements of section 212 of the Social Security Act Amendments of 1994, which amend title IV-D of the Social Security Act. These provisions require States to adopt procedures for periodic reporting of information to consumer reporting agencies. This regulatory package will also include technical changes to other child support regulations to support the President's Regulatory reinvention initiative.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 302; 45 CFR 303,PL 103-432,Yes,,,,,,,"Marianne,Upton,C.,Branch Chief, Policy Division,0970,Administration for Children and Families,ACF,202 401-5373,Office of Child Support Enforcement, 370 L'Enfant Promenade SW.,Washington,DC,20447",,,,,,,,NPRM; 12/00/1995,Interim Final Rule; 10/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB60,0970,Administration for Children and Families,0900,Department of Health and Human Services,On-Site Foster Care Eligibility Reviews,This NPRM will propose requirements that govern on-site eligibility reviews that the Administration for Children and Families conducts to assure State agencies' compliance with the statutory requirements under Title IV-E of the Social Security Act for eligibility of foster care providers and eligibility of the children in foster care.,"Substantive, Nonsignificant",First Time Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 1356,42 USC 1302,No,,,,,,,"Daniel,Lewis,H.,Deputy Associate Commissioner, Children's Bureau, Adm. on Children, Youth & Fami,0970,Administration for Children and Families,ACF,202 205-8594,P.O. Box 1182,Washington,DC,20013",,,,,,,,NPRM; 04/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB11,0970,Administration for Children and Families,0900,Department of Health and Human Services,Amendments to Developmental Disabilities Rules,This rule updates current rules with clarifications and new requirements to implement recent changes in the Developmental Disabilities Assistance and Bill of Rights Act Amendments of 1990 (Pub. L. 101-496) and 1994 (Pub. L. 103-230).,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,,45 CFR 1385; 45 CFR 1386; 45 CFR 1387; 45 CFR 1388,42 USC 6000 et seq,No,,,,,,,"John,Doyle,Director, Administration and Planning Staff, Administration on Developmental Dis,0970,Administration for Children and Families,ACF,202 690-6590,Room 315D, 200 Independence Avenue SW.,Washington,DC,20201",Statutory; Final; 10/03/1994;   ,Statutory; Final; 04/29/1991;   ,,,,,,NPRM; 05/18/1995; 60 FR 26774,Final Action; 05/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB18,0970,Administration for Children and Families,0900,Department of Health and Human Services,Family Violence Prevention and Services,Would implement the requirements under the Family Violence Prevention and Services Act which provides various grants related to domestic violence.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,,45 CFR 1370,42 USC 10407,Yes,,,,,,,"Margaret,Washnitzer,Director, Division of State Assistance,0970,Administration for Children and Families,ACF,202 401-2333,Office of Community Services, 370 L'Enfant Promenade SW.,Washington,DC,20447",Statutory; Final; 09/25/1992;   ,Statutory; NPRM; 08/26/1992;   ,,,,,,NPRM; 12/10/1993; 58 FR 64920,Final Action; 12/00/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB23,0970,Administration for Children and Families,0900,Department of Health and Human Services,Child Abuse and Neglect State Grant Program,The primary purpose of this rule is to revise existing regulations at 45 CFR 1340 in order to implement recent amendments to the Child Abuse Prevention and Treatment Act with respect to confidentiality requirements.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,,45 CFR 1340,42 USC 5101,No,,,,,,,"Emily,Cooke,Acting Director, National Center on Child Abuse and Neglect,0970,Administration for Children and Families,ACF,202 205-8709,ecooke@acf.dhhs.gov,CB OCAN, Switzer Building, Room 2106, 330 C Street SW.,Washington,DC,20201",,,,,,,,NPRM; 05/18/1994; 59 FR 26046,Final Action; 02/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB24,0970,Administration for Children and Families,0900,Department of Health and Human Services,Standards for Safe Transportation,"This rule establishes Head Start Performance Standards for the safe transportation of Head Start children, including vehicle requirements, driver qualifications and training and safety rules for children and staff while enroute and loading and unloading of vehicles.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,,45 CFR 1310,42 USC 9801 et seq,Yes,,,,,,,"Douglas,Klafehn,Deputy Associate Commissioner, Head Start,0970,Administration for Children and Families,ACF,202 205-8569,dklafehn@acf.dhhs.gov,330 C Street SW.,Washington,DC,20447",,,,,,,,NPRM; 06/15/1995; 60 FR 31612,Final Action; 06/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB31,0970,Administration for Children and Families,0900,Department of Health and Human Services,Standards for Purchase of Facilities,This regulation established standards for the purchase of facilities as required by the Head Start Improvement Act of 1992.,Other Significant,Previously Published in The Unified Agenda,Final Rule Stage,,45 CFR 1309,42 USC 9801 et seq,Yes,,,,,,,"Douglas,Klafehn,Deputy Associate Commissioner, Head Start,0970,Administration for Children and Families,ACF,202 205-8569,dklafehn@acf.dhhs.gov,330 C Street SW.,Washington,DC,20447",,,,,,,,NPRM; 12/01/1994; 59 FR 61575,Final Action; 01/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB32,0970,Administration for Children and Families,0900,Department of Health and Human Services,National Voter Registration Act of 1993 Provisions Affecting Public Assistance Agencies,Incorporates general guidance for public assistance agencies regarding registration procedures to be carried out by State Public Assistance offices. It removes former prohibitions from distributing such materials in these offices.,Other Significant,Previously Published in The Unified Agenda,Final Rule Stage,,45 CFR 205.50 (a)(4); 45 CFR 206.10; 42 CFR 431.307 (a); 42 CFR 431.307 (b),PL 103-31,Yes,,,,,,,"Mack,Storrs,A.,Director, Division of Self-Sufficiency Programs,0970,Administration for Children and Families,ACF,202 401-9289,mstorrs@acf.dhhs.gov,Office of Family Assistance, 370 L'Enfant Promenade SW,Washington,DC,20447",,,,,,,,NPRM; 11/22/1994; 59 FR 60109,Final Action; 12/00/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB33,0970,Administration for Children and Families,0900,Department of Health and Human Services,Child Care -- Revised Regulations,"The Administration for Children and Families will amend existing regulations which govern the administration of child care programs under Title IV-A of the Social Security Act (AFDC Child Care, Transitional Child Care, At-Risk Child Care) and the Child Care and Development Block Grant. Based on recent legislative changes, as well as comments from state and tribal program administrators, child care advocates and other interested parties, we are examining a number of specific regulatory provisions. The purpose of this regulatory package will be to implement legislative changes, reduce program differences, and promote better program coordination. We do not expect these changes to result in significant program costs; administrative savings may result.",Other Significant,Previously Published in The Unified Agenda,Final Rule Stage,,45 CFR 98.255; 45 CFR 98.256; 45 CFR 98.257,42 USC 1302,No,,,,,,,"Olivia,Golden,M.,Commissioner, Administration on Children, Youth and Families,0970,Administration for Children and Families,ACF,202 205-8572,P.O. Box 1182,Washington,DC,20013",,,,,,,,NPRM; 05/11/1994; 59 FR 24510,Final Action; 02/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB34,0970,Administration for Children and Families,0900,Department of Health and Human Services,Family Preservation and Support,"This rule will amend the requirements under title IV-B subpart 1 for the Child and Family Services State plan and set forth the requirements the State must adhere to in the development and submission of its comprehensive five year plan under title IV-B, subpart 2, family preservation and support services. The submission of this jointly developed plan is required in order to receive both child and family services funds under subpart 1 and family preservation and support services funds under subpart 2 for fiscal years 1995 and following.",Other Significant,Previously Published in The Unified Agenda,Final Rule Stage,,45 CFR 1355; 45 CFR 1356; 45 CFR 1357,42 USC 430 to 435,Yes,,,,,,,"Daniel,Lewis,H.,Deputy Associate Commissioner, Children's Bureau, Adm. on Children, Youth & Fami,0970,Administration for Children and Families,ACF,202 205-8594,P.O. Box 1182,Washington,DC,20013",,,,,,,,NPRM; 10/04/1994; 59 FR 50646,Final Action; 01/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB37,0970,Administration for Children and Families,0900,Department of Health and Human Services,Administration of Native Americans 45 CFR Part 1336,"This regulation amends 45 CFR part 1336 to implement legislative requirements. It will incorporate an appeals procedure affording applicants the opportunity to appeal based on organizational ineligibility or activities deemed ineligible, when determined by the ANA Commissioner. Native American organizations are expected to welcome these changes which provide for an appeal of appeals decisions and comport with amendments to the statute.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,,45 CFR 1336,42 USC 2991,Yes,,,,,,,"Sharon,McCully,Director, Planning and Support,0970,Administration for Children and Families,ACF,202 690-5780,200 Independence Avenue SW.,Washington,DC,20201",,,,,,,,NPRM; 04/21/1995; 60 FR 19994,Final Action; 11/00/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB46,0970,Administration for Children and Families,0900,Department of Health and Human Services,Reduction of Reporting Requirements for the State Systems Advance Planning Document (APD) Process,"These rules decrease the reporting burden on States and increase their flexibility within the State systems APD process by increasing the threshold under which APDs and related procurement documents need not be submitted for Federal approval. Additionally, States will no longer be required to submit biennial security plans for Federal review and approval.",Other Significant,Previously Published in The Unified Agenda,Final Rule Stage,,45 CFR 95.600,42 USC 1302,Undetermined,,,,,,,"Bill,Davis,Management Analyst,0970,Administration for Children and Families,ACF,202 401-6404,370 L'Enfant Promenade SW.,Washington,DC,20447",,,,,,,,NPRM; 07/21/1995; 60 FR 7858,Final Action; 07/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB59,0970,Administration for Children and Families,0900,Department of Health and Human Services,Income and Resource Disregards Related to Interests of Individual Indians in Trust or Restricted Lands,"These rules incorporate statutory disregards in the AFDC program and the Adult Assistance programs in Guam, Puerto Rico and the Virgin Islands. The first provides that up to $2,000 per year of income derived from interests of individual Indians in trust or restricted lands shall not be considered in determining assistance. The second is a provision requiring that interests of individual Indians in trust or restricted lands shall not be considered a resource in determining eligibility for assistance.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,,45 CFR 233,PL 103-66,No,,,,,,,"Mack,Storrs,A.,Director, Division of Self-Sufficiency Programs,0970,Administration for Children and Families,ACF,202 401-9289,mstorrs@acf.dhhs.gov,Office of Family Assistance, 370 L'Enfant Promenade SW,Washington,DC,20447",,,,,,,,NPRM; 10/25/1994; 59 FR 51536,Final Action; 02/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0970-AB53,0970,Administration for Children and Families,0900,Department of Health and Human Services,Income Eligibility Criteria for Indian Tribes,"This NPRM will revise the income eligibility criteria used in enrolling Head Start children and families to allow Indian tribes, in certain situations, to enroll more children whose families do not meet Head Start's income criteria than would otherwise be possible.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Long-Term Actions,,45 CFR 1305,45 USC 9801,Yes,,,,,,,"Douglas,Klafehn,Deputy Associate Commissioner, Head Start,0970,Administration for Children and Families,ACF,202 205-8569,dklafehn@acf.dhhs.gov,330 C Street SW.,Washington,DC,20447",,,,,,,,NPRM; 12/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
