agenda_date,RIN,agency_code,agency_name,department_code,department_name,rule_title,abstract,priority,RIN_status,rule_stage,major,CFR,legal_authority,regulatory_flexibility_analysis,legal_deadline1,legal_deadline2,legal_deadline3,legal_deadline4,action1,action2,action3,action4,action5,action6,action7,action8,action9,action10,action11,action12,action13,action14,action15,action16,action17,action18,action19,action20,action21,action22,action23,action24,action25,action26,action27,action28,action29,action30,action31,action32,action33,action34,action35,action36,action37,action38,action39,action40,action41,action42,action43,action44,action45,action46,action47,action48,action49,action50,action51,action52,action53,action54,action55,action56,action57,action58,action59,action60,action61,action62,action63,action64,action65,action66,action67,action68,action69,action70,action71,action72,action73,action74,action75,action76,action77,action78,action79,action80,action81,action82,action83,action84,action85,action86,action87,action88,action89,action90,action91,action92,action93,action94,action95,action96,action97,action98,action99,action100,action101,action102,action103,action104,action105,action106,action107,action108,action109,action110,action111,action112,action113,action114,action115,action116,action117,action118,action119,action120,action121,action122,action123,action124,action125,action126,action127,action128,action129,action130,action131,action132,action133,action134,action135,action136,action137,action138,action139,action140,action141,action142,action143,action144,action145,action146,action147,action148,action149,action150,action151,action152,action153,action154,action155,action156,action157,action158,action159,action160,action161,action162,action163,action164,action165,action166,action167,action168,action169,action170,action171,action172,action173,action174,action175,action176,action177,action178,action179,action180,action181,action182,action183,action184,action185,action186,action187,action188
202404,0503-AA73,0503,Office of the Secretary,0500,Department of Agriculture,Partnerships With Faith-Based and Neighborhood Organizations,"The final rule published on December 17, 2020, amended the U.S. Department of Agriculture (USDA) regulations and those of eight other participating Federal agencies to implement Executive Order 13831 (Establishment of a White House Faith and Opportunity Initiative). However, by Executive Order 14015, President Biden revoked Executive Order 13891, and USDA and the other participating Federal agencies are engaging in an interagency process to consider revisions.",Section 3(f)(1) Significant,Previously Published in The Unified Agenda,Completed Actions,Yes,7 CFR 16,"5 U.S.C. 301; E.O. 13279, 67 FR 77141; E.O. 13280, 67 FR 77145; E.O. 13559, 75 FR 71319; E.O. 14015, 86 FR 10007",No,,,,,NPRM; 01/13/2023; 88 FR 2395,NPRM Comment Period End; 03/14/2023,Final Action; 03/04/2024; 89 FR 15671,Final Action Effective; 04/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,0503-AA79,0503,Office of the Secretary,0500,Department of Agriculture,Civil Monetary Penalty Inflation Adjustments for 2024,This final rule amends the U.S. Department of Agriculture's civil monetary penalty regulations by making inflation adjustments as mandated by the Federal Civil Penalties Inflation Adjustment Act Improvements Act of 2015.,Info./Admin./Other,First Time Published in The Unified Agenda,Completed Actions,No,7 CFR 3,28 U.S.C. 2461 note,No,,,,,Final Rule; 06/07/2024; 89 FR 48495,Final Rule Effective; 06/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,0505-AA18,0505,Office of Chief Financial Officer,0500,Department of Agriculture,"Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards - USDA Implementation","USDA's Office of the Chief Financial Officer proposes updates to USDA's regulatory implementation of 2 CFR part 200 - Uniform Guidance for Federal Financial Assistance.  The proposed update at 2 CFR Chapter IV is focused on increasing fair and open competition, equitable access to economic opportunities, and enhancing the internal control landscape of financial assistance at USDA.","Substantive, Nonsignificant",First Time Published in The Unified Agenda,Proposed Rule Stage,No,2 CFR 200,5 U.S.C. 301,No,,,,,NPRM; 07/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,0524-AA71,0524,National Institute of Food and Agriculture,0500,Department of Agriculture,Amendments to 7 CFR Part 3430--Competitive and Noncompetitive Non-Formula Federal Assistance Programs-General Award Administrative Provisions,"The National Institute of Food and Agriculture (NIFA) issues grants and cooperative agreements to a variety of entities including, but not limited to, colleges and universities, other Federal agencies, and individuals in support of agricultural research, education, and extension programs. The Agency's administrative provisions in 7 CFR part 3430, Competitive and Noncompetitive Non-formula Federal Assistance Programs, contain elements common to all competitive and noncompetitive grant programs it administers in subparts A through E. Subpart F and thereafter apply to specific grant programs.  These regulations do not, however, currently apply to any of the formula grant programs administered by NIFA. Therefore, NIFA will amend the regulations to expand the scope of 7 CFR part 3430 to include these programs and to rename the part Competitive, Noncompetitive, and Capacity Federal Assistance Programs. 
 At the time 7 CFR part 3430 was established, NIFA planned to eliminate some of its existing program-specific regulations in title 7 and incorporate their provisions into part 3430.  Accordingly, this rule will remove 7 CFR parts 3402 (Food and Agricultural Sciences National Needs Graduate and Postgraduate Fellowship Grants Program), 3405 (Higher Education Challenge Grants Program), 3406 (1890 Institution Capacity Building Grants Program), and 3415 (Biotechnology Risk Assessment Research Grants Program) and incorporate their provisions into part 3430 as subparts N, R, S, and T.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,No,7 CFR 3430,7 U.S.C. 3316,No,,,,,Final Action; 11/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,0524-AA72,0524,National Institute of Food and Agriculture,0500,Department of Agriculture,Addition of Subpart V to 7 CFR Part 3430--NIFA's Federal Assistance Programs--General Award Administrative Provisions,"The National Institute of Food and Agriculture (NIFA) issues grants and cooperative agreements to a variety of entities including, but not limited to, colleges and universities, other Federal agencies, and individuals in support of agricultural research, education, and extension programs. The Agency's administrative provisions in 7 CFR part 3430 contain elements common to the competitive grant programs it administers in subparts A through E. subpart F and thereafter apply to specific grant programs. 
 Section 7117 of the Agriculture Improvement Act of 2018 (Pub. L. 115-334, or the 2018 Farm Bill) added section 1446 to the National Agricultural Research, Extension, and Teaching Policy Act of 1977 to establish a new competitive grant program entitled Scholarships for Students at 1890 Institutions. Section 7117 provides mandatory funding in the enacted amount of $40 million, to remain available until expended, for a scholarship program for eligible students at 1890 Institutions. This final rule establishes a new subpart V in 7 CFR part 3430 for this program.",Info./Admin./Other,Previously Published in The Unified Agenda,Final Rule Stage,No,7 CFR 3430,Pub. L. 115-334,No,,,,,Final Action; 11/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,0551-AB04,0551,Foreign Agricultural Service,0500,Department of Agriculture,7 CFR Part 6 Subpart B Dairy Tariff-Rate Quota Import Licensing,"The regulations governing the Dairy Tariff-Rate Quota Import Licensing program, 7 CFR 6.206.36, are designed to fulfill our World Trade Organization obligations and facilitate the import of certain dairy products under tariff-rate quotas (TRQs) as set forth in certain notes in chapter 4 of the Harmonized Tariff Schedule of the United States. Under these TRQs, a low tariff rate applies to imports of certain dairy products up to a specified quantity. A higher tariff rate applies to any imports in excess of that amount. Under the licensing program regulations, the Foreign Agricultural Service (FAS) issues three types of annual licenses: historical, nonhistorical (lottery), and designated. The three license types are used in the same manner but are obtained under different circumstances. No license is required to import products at the over-quota tariff rate. The proposed rule removes the section on license transfers, strengthens the suspension and revocation provisions, and moves forward the surrender date to permit earlier reallocation of surrendered quantities.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,No,7 CFR 6.20 to 6.36,19 U.S.C. 1202; 31 U.S.C. 9701; 19 U.S.C. 3513; 19 U.S.C. 3601,No,,,,,NPRM; 07/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,0551-AB05,0551,Foreign Agricultural Service,0500,Department of Agriculture,"7 CFR 1530 The Refined Sugar Re-Export Program, the Sugar Containing Products Re-Export Program, and the Polyhydric Alcohol Program","This rulemaking would eliminate or incorporate and/or modify waivers to the regulations previously issued by the Licensing Authority. This action would also update and/or clarify language, including definitions, and address circumstances not contemplated in 7 CFR 1530 as currently drafted.  For example, the regulations would address procedures for the treatment of export credits where one refined re-export license holder or its assets are purchased by another refined re-export license holder. The regulations would also address whether refiners, SCPs, and Polyhydric Alcohol manufacturers may buy or sell their export credits to other license holders under the program.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,No,7 CFR 1530,19 U.S.C. 1202; 19 U.S.C. 3314,No,"Statutory; Other; N/A; Additional U.S. note 6 to chapter 17 of the Harmonized Tariff Schedule of the United States (19 U.S.C. 1202); 19 U.S.C. 3314; Proc. 6641, 58 FR 66867, 3 CFR, 1994 Comp., p. 172; Proc. 6763, 60 FR 1007",,,,NPRM; 09/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,0551-AB07,0551,Foreign Agricultural Service,0500,Department of Agriculture,CCC Export Credit Guarantee Program,"The Export Credit Guarantee Program (GSM-102) provides credit guarantees to encourage financing of commercial exports of U.S. agricultural products.  The Foreign Agricultural Service (FAS) is proposing to update language to reflect FAS's current organizational structure, including requirements for participants in the program to register in the System for Awards Management.","Substantive, Nonsignificant",First Time Published in The Unified Agenda,Final Rule Stage,No,7 CFR 1493,"7 U.S.C. 5602, 5622, 5661-5664, 5676; 15 U.S.C. 714b(d), 714c(f)",No,,,,,Final Rule with a request for comments; 09/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,0551-AB06,0551,Foreign Agricultural Service,0500,Department of Agriculture,Regional Agricultural Promotion Program,"The Commodity Credit Corporation (CCC) amended the regulation to implement the Regional Agricultural Promotion Program (RAPP). The RAPP provides assistance to eligible organizations that conduct activities, including activities to address existing or potential nontariff barriers to trade, to promote U.S. agricultural commodities in certain foreign markets.  This rule specifies, among other things, program requirements, activities eligible for reimbursement, contribution requirements, and reporting requirements.  Specific program requirements will be set forth in future Notices of Funding Opportunity (NOFOs) announced through the Grants.gov website.","Substantive, Nonsignificant",First Time Published in The Unified Agenda,Completed Actions,No,7 CFR 1489,15 U.S.C. 714c(f),No,,,,,Final Rule; 11/17/2023; 88 FR 80092,Final Rule Effective; 11/17/2023,Final Rule Comment Period End; 12/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,0560-AI53,0560,Farm Service Agency,0500,Department of Agriculture,Eligibility Requirement to Serve on a Farm Service Agency (FSA) County Committee ,"The regulations in 7 CFR part 7 specify the election and functions of FSA county committees and the function of the FSA State committees. The regulations are being amended to add a requirement that, to be eligible to serve on an FSA county committee, a producer must not be banned or restricted from entering an FSA office.  The FSA county committee meetings are held in the FSA office.  Any producer who has been banned or restricted from an FSA county office will not be eligible to be a nominee for, or current member of, an FSA county committee.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,No,7 CFR 7,16 U.S.C. 590h,No,,,,,NPRM; 02/00/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
